@relation trainplusliwc

@attribute feature1 numeric
@attribute feature2 numeric
@attribute feature3 numeric
@attribute feature4 numeric
@attribute feature5 numeric
@attribute feature6 numeric
@attribute feature7 numeric
@attribute feature8 numeric
@attribute feature9 numeric
@attribute feature10 numeric
@attribute feature11 numeric
@attribute feature12 numeric
@attribute feature13 numeric
@attribute feature14 numeric
@attribute feature15 numeric
@attribute feature16 numeric
@attribute feature17 numeric
@attribute feature18 numeric
@attribute feature19 numeric
@attribute feature20 numeric
@attribute feature21 numeric
@attribute feature22 numeric
@attribute feature23 numeric
@attribute feature24 numeric
@attribute feature25 numeric
@attribute feature26 numeric
@attribute feature27 numeric
@attribute feature28 numeric
@attribute feature29 numeric
@attribute feature30 numeric
@attribute feature31 numeric
@attribute feature32 numeric
@attribute feature33 numeric
@attribute feature34 numeric
@attribute feature35 numeric
@attribute feature36 numeric
@attribute feature37 numeric
@attribute feature38 numeric
@attribute feature39 numeric
@attribute feature40 numeric
@attribute feature41 numeric
@attribute feature42 numeric
@attribute feature43 numeric
@attribute feature44 numeric
@attribute feature45 numeric
@attribute feature46 numeric
@attribute feature47 numeric
@attribute feature48 numeric
@attribute feature49 numeric
@attribute feature50 numeric
@attribute feature51 numeric
@attribute feature52 numeric
@attribute feature53 numeric
@attribute feature54 numeric
@attribute feature55 numeric
@attribute feature56 numeric
@attribute feature57 numeric
@attribute feature58 numeric
@attribute feature59 numeric
@attribute feature60 numeric
@attribute feature61 numeric
@attribute feature62 numeric
@attribute feature63 numeric
@attribute feature64 numeric
@attribute feature65 numeric
@attribute feature66 numeric
@attribute feature67 numeric
@attribute feature68 numeric
@attribute nlinks numeric
@attribute nusermentions numeric
@attribute nhashtags numeric
@attribute nTweets numeric
@attribute age {25-34,35-49,18-24,50-XX}
@attribute gender {M,F}
@attribute extS numeric
@attribute neuS numeric
@attribute agrS numeric
@attribute consS numeric
@attribute openS numeric

@data
0.022987,0.002489,0.003401,0.005889,0.004882,0,0.015435,0.010806,0.000622,0.006199,0.004107,0.078544,0.047098,0.003557,0.020117,0.029833,0.008352,0.012739,0,0.070599,0.001311,0.020797,0.017099,0.005763,0.018929,0.01578,0.024513,0.006209,0.012474,0.002483,0.059837,0.021154,0.013434,0.007085,0.00227,0.011616,0.01597,0.040407,0.049782,0.003369,0.019402,0.000922,0.001943,0.00317,0.012284,0.018473,0.023813,0.004266,0,0.019547,0.016293,0.002821,0,0.003265,0.010207,0.005104,0.017072,0.01262,0.004451,0.019199,0.006745,0.00828,0.009569,0,0,0.002853,0,0,6,9,6,202,18-24,M,0.1,-0.1,0.2,0,0.2
0.005867,0.00044,0,0.00044,0.000518,0.002871,0.001144,0.004889,0.000209,0.004003,0.000714,0.086341,0.051966,0.011876,0.016707,0.028435,0.003523,0.010479,0.003793,0.034538,0.000682,0.01101,0.01006,0.007493,0.006976,0,0.017844,0.006447,0.006402,0.003086,0.040608,0.021229,0.003389,0,0,0.01005,0.024839,0.012471,0.061963,0.001756,0.010664,0.003358,0,0.001726,0.00127,0.021197,0.025109,0.014985,0.00687,0.003255,0.031451,0.005022,0.001764,0.016029,0.008636,0.016707,0.002871,0.002871,0,0.027926,0.015476,0.005589,0.009742,0,0,0.006894,0,0,35,46,24,202,18-24,F,0.3,-0.1,0.2,0.4,0.2
0.012314,0.0069,0.001221,0.008122,0.000499,0.003301,0.009933,0.010368,0.000777,0.003037,0.006863,0.106005,0.068182,0.011866,0.02751,0.037823,0.004145,0.006484,0.006549,0.039735,0.005559,0.015689,0.004475,0.001694,0.012961,0.007895,0.018079,0.009854,0.006069,0.002157,0.052387,0.013023,0.005021,0.007307,0.008768,0.013323,0.024193,0.021251,0.045887,0.003466,0.013167,0.003301,0,0.001542,0.004319,0.0112,0.020745,0.012822,0.001947,0.005976,0.027919,0.009584,0,0.009609,0.008726,0.01475,0.00555,0.00555,0,0.023803,0.008658,0.00705,0.008202,0.006109,0.00109,0,0,0,13,63,5,202,18-24,F,0,-0.1,0.1,-0.1,0.1
0.012985,0.00228,0.000938,0.003218,0.00278,0,0,0.003521,0.001996,0.007965,0.001116,0.126022,0.10066,0.055036,0.024942,0.025363,0,0.011456,0.001285,0.032552,0.005573,0.01035,0.010956,0,0.0175,0.00401,0.014591,0.008196,0.003156,0,0.074964,0.034445,0.010705,0,0,0.002881,0.013629,0.011879,0.032305,0.003064,0.023627,0.001107,0,0.002065,0,0.015607,0.115466,0.086768,0.015216,0.004209,0.015636,0.000581,0.003788,0,0.011268,0.002986,0.001894,0.001894,0,0.007555,0.004619,0.001485,0.002936,0,0,0,0,0,63,77,108,184,25-34,M,0.2,-0.1,-0.1,0.5,0.1
0.027724,0.010202,0.002798,0.013,0.000397,0.010281,0.002743,0.003459,0.00016,0.010553,0.006233,0.09861,0.052199,0.007575,0.013861,0.044047,0.003266,0.006285,0.013225,0.060594,0.005899,0.028296,0.003091,0.014636,0.014739,0.013033,0.020539,0.00562,0.010531,0.00307,0.102014,0.055454,0.015853,0.004082,0.007521,0.011822,0.035443,0.043697,0.065944,0.010364,0.011539,0.002145,0.001838,0.002798,0.007722,0.024743,0.073665,0.045146,0.018351,0.015419,0.02904,0.008771,0.008166,0.004893,0.007209,0.004551,0.006355,0.006355,0,0.041913,0.015912,0.012596,0.009722,0.011343,0.003976,0.004957,0,0,14,61,67,202,25-34,F,0.2,-0.3,0.2,0.3,0.2
0.025697,0.007006,0.001282,0.008287,0.006249,0.006039,0.013483,0.00248,0.00007,0.009731,0.003349,0.109594,0.064677,0.013245,0.014403,0.042668,0.003483,0.017387,0.009906,0.046007,0.008342,0.019481,0.00599,0.001778,0.009676,0.005519,0.022371,0.007065,0.009698,0.005608,0.074864,0.024461,0.016031,0.001165,0.001696,0.026324,0.017927,0.01634,0.066903,0.003823,0.007433,0.003565,0,0.00035,0.00378,0.011091,0.029549,0.00778,0.002522,0.019246,0.004319,0.003384,0,0,0.000935,0.004298,0.003477,0.001434,0.002043,0.049947,0.027866,0.022471,0.005835,0.002669,0.003362,0.007205,0,0,10,142,8,202,18-24,F,0.5,0.3,0,0.1,0.3
0.020225,0.002036,0.004312,0.006347,0.002654,0.007255,0.008989,0.012128,0.000179,0.00937,0.007809,0.133993,0.07542,0.013029,0.024887,0.055366,0.007627,0.027249,0.008665,0.070294,0.005939,0.024607,0.009941,0.011811,0.015361,0.009022,0.021217,0.005915,0.009186,0.003124,0.097989,0.048419,0.016481,0.005703,0.008986,0.016544,0.035285,0.043225,0.070628,0.007315,0.01939,0.005732,0.002143,0.002391,0.00329,0.0184,0.058465,0.03422,0.011886,0.011537,0.019461,0.011795,0.001452,0.006213,0,0.011491,0.013772,0.008762,0.00501,0.029552,0.016136,0.01953,0.002843,0.001163,0.002066,0.004606,0,0,28,141,49,202,50-XX,F,-0.2,-0.3,-0.1,0,0.5
0.015802,0.001826,0.004819,0.006645,0,0.001928,0.001765,0.003796,0.001104,0.014382,0.00508,0.105736,0.090541,0.004777,0.027055,0.015195,0.00158,0.00158,0.007275,0.072097,0.00346,0.026191,0.003936,0.016296,0.009442,0.008543,0.024403,0.009953,0.010867,0.003584,0.072229,0.027932,0.011872,0.006437,0.002319,0.013053,0.036652,0.021655,0.049422,0.005895,0.020371,0.004269,0,0.008535,0.002717,0.027252,0.108904,0.044481,0.035346,0.028821,0.039849,0.009964,0.010252,0.011789,0.009711,0.005293,0.014715,0.014715,0,0.021127,0.008782,0.006257,0.010208,0.001451,0.002909,0,0,0,69,97,195,202,25-34,F,0.4,0.5,0.2,0.2,0.2
0.016697,0.00154,0.004546,0.006086,0.004675,0.001884,0.008052,0.007058,0.001119,0.018216,0.009059,0.117349,0.04603,0.00088,0.023639,0.06237,0.002585,0.025984,0.006362,0.079709,0.011855,0.023768,0.00711,0.014246,0.014385,0.007437,0.01326,0.002627,0.00418,0.003752,0.062321,0.026349,0.01213,0.004248,0.004248,0.008476,0.032847,0.030442,0.062948,0.003932,0.02414,0.001983,0.002585,0.003837,0.003583,0.020417,0.074383,0.031221,0.017374,0.025172,0.023826,0.001917,0.009172,0.007054,0.005683,0.01553,0.025657,0.00676,0.018898,0.01982,0.014515,0.006403,0.002585,0.000771,0.002585,0.003744,0,0,73,52,19,202,50-XX,M,0.3,-0.1,-0.1,0,-0.1
0.018803,0.010261,0.001216,0.011477,0,0.001916,0.003186,0.006851,0.000047,0.01075,0.009692,0.086357,0.042561,0.006307,0.017471,0.042555,0.00183,0.018181,0.007361,0.07176,0.012625,0.024376,0.006553,0.010992,0.025527,0.015445,0.033064,0.008842,0.012417,0.008575,0.051626,0.026095,0.007098,0.00206,0.008394,0.009484,0.051301,0.046987,0.076198,0.002288,0.023559,0.00266,0.002951,0.001549,0.010085,0.022723,0.040335,0.015553,0.012261,0.016371,0.027063,0.013403,0,0.002894,0.010765,0.011485,0.013487,0.006715,0.006772,0.073929,0.033128,0.018109,0.015684,0.010875,0.007995,0.026724,0.001667,0,3,1,0,202,18-24,M,-0.1,0.2,0.1,0,0.2
0.024769,0.00332,0.002198,0.005519,0.005714,0.007541,0.001546,0.002305,0.000845,0.011824,0.001904,0.114458,0.065506,0.004179,0.011508,0.041529,0.006286,0.014581,0.008692,0.069128,0.005269,0.026479,0.004988,0.005858,0.018624,0.005665,0.018304,0.004586,0.008454,0.003236,0.084515,0.039812,0.01964,0.005054,0.009481,0.003954,0.031805,0.027847,0.088141,0.004748,0.033592,0.011342,0.003807,0.013285,0.007451,0.013636,0.051637,0.031078,0.008604,0.016323,0.027785,0.013972,0.005632,0.007412,0.002797,0.03455,0.024543,0.001775,0.022768,0.045637,0.02813,0.008797,0.012092,0.002745,0.003604,0,0,0,89,35,17,202,35-49,F,0.4,0.3,0.2,0.4,0.5
0.015112,0.001495,0.002441,0.003936,0,0.009547,0.002601,0.013302,0.000508,0.003219,0.000365,0.089849,0.062883,0.002467,0.018235,0.026966,0,0.007724,0,0.040645,0,0.017155,0.001718,0.016248,0.004389,0,0.008856,0.002853,0,0.00279,0.040026,0.017665,0.011989,0,0.001092,0.00928,0.02062,0.023229,0.026162,0.007783,0.003349,0.003349,0,0,0,0.00308,0.027018,0.005261,0.014881,0.006877,0.027378,0.001289,0.00256,0.018252,0.01741,0,0.014249,0.007556,0.006693,0.029501,0.020261,0.015152,0.003214,0,0,0,0,0,5,32,7,174,18-24,F,0,-0.1,0.1,0.3,0.4
0.013349,0.004891,0.00046,0.005351,0.003656,0.002517,0.006469,0.002223,0.000972,0.01179,0.007334,0.186172,0.091939,0.003876,0.023635,0.094233,0.021877,0.009925,0.021771,0.037766,0.004952,0.012398,0.000519,0.002337,0.013209,0.007114,0.008935,0.005794,0.000837,0.000837,0.117247,0.032633,0.007206,0.006034,0.010985,0.019976,0.034193,0.021082,0.040386,0.000793,0.05689,0.004022,0,0.016758,0.004099,0.004469,0.059571,0.03937,0.013273,0.013139,0.030748,0.006666,0.013734,0.004708,0.00564,0.008561,0.007156,0.007156,0,0.056574,0.01432,0.008344,0,0.005334,0.036852,0.007105,0,0,97,28,17,202,35-49,F,0.4,0.3,0.2,0.4,0.5
0.012354,0.005933,0.000551,0.006485,0.000649,0,0.003346,0.00368,0.00055,0.012168,0.003723,0.114824,0.049502,0.007504,0.016996,0.062938,0.00254,0.031036,0.011294,0.072617,0.006566,0.033587,0.014849,0.00397,0.014119,0.023222,0.026896,0.00548,0.009617,0.009965,0.055421,0.024487,0.005525,0.002371,0.002563,0.01809,0.019496,0.027435,0.075021,0.0032,0.021373,0.004313,0.006071,0.003148,0.003684,0.016384,0.020096,0.006427,0.003407,0.011212,0.007786,0.004782,0.001157,0.001848,0,0.009168,0.016076,0.007394,0.008683,0.05737,0.037098,0.010286,0.003734,0.009169,0.008013,0.017362,0,0,4,39,1,202,18-24,M,0.1,0.2,0.2,0,0.1
0.020958,0.005391,0.001864,0.007256,0.000179,0.006344,0.003211,0.001994,0.001209,0.01989,0.00976,0.113931,0.05442,0.003987,0.009368,0.054881,0.011052,0.023308,0.011393,0.053416,0.00301,0.018486,0.011578,0.00518,0.010005,0.013909,0.013887,0.005516,0.003161,0.00174,0.065982,0.01337,0.01041,0.002007,0.010894,0.021895,0.042801,0.022334,0.061872,0.000201,0.022894,0.012457,0,0.004702,0.001836,0.025159,0.043145,0.018884,0.011152,0.015434,0.049403,0.024357,0.007706,0.006071,0.012331,0.016256,0.016308,0.011815,0.004493,0.063301,0.029019,0.009008,0.01804,0.004208,0.014216,0.006282,0.002307,0,4,49,77,202,25-34,F,0.2,-0.3,0.2,0.3,0.2
0.012604,0.000035,0.0016,0.001636,0.006044,0.001737,0.002235,0.008756,0.001005,0.016555,0.010224,0.128643,0.090603,0.012265,0.025694,0.031229,0.002424,0.0121,0.007926,0.10538,0.018832,0.033514,0.016635,0.01612,0.014309,0.005906,0.014982,0.002944,0.008123,0.003915,0.070581,0.031903,0.010294,0.001485,0.00159,0.01158,0.024818,0.031749,0.073744,0.003381,0.025939,0.003578,0,0.005859,0.008177,0.018443,0.10482,0.038734,0.050307,0.02887,0.034769,0.01145,0.011371,0.00621,0.005738,0.021655,0.003261,0.003261,0,0.032217,0.024466,0.021753,0,0.010942,0.002561,0,0,0,65,34,215,202,25-34,M,-0.1,0.2,0.1,0.2,0.3
0.010254,0.003171,0.00208,0.005251,0.001477,0.001785,0.003337,0.007214,0.000459,0.023732,0.01635,0.091003,0.053871,0,0.016961,0.02965,0.001523,0.008321,0.006502,0.082415,0.017126,0.036911,0.004024,0.008261,0.007929,0.011568,0.020819,0.002723,0.016094,0.002002,0.082625,0.040415,0.006785,0.005365,0.000875,0.018064,0.035625,0.022203,0.091942,0.003661,0.044756,0.002983,0.001627,0.01257,0.000641,0.020044,0.15909,0.086441,0.052344,0.027187,0.011208,0.002329,0.002717,0.000797,0.005366,0.037906,0.009762,0.009762,0,0.014034,0.012778,0.006592,0,0,0.001257,0.002955,0,0,48,62,340,202,25-34,M,-0.1,0.2,0.1,0.2,0.3
0.013932,0.005241,0.00159,0.00683,0.002779,0.003241,0.006748,0.009018,0.000608,0.027308,0.002414,0.149271,0.091534,0.022082,0.013055,0.057737,0,0.007749,0.037266,0.054163,0.003061,0.017658,0.020388,0.005533,0.020373,0.013581,0.009864,0,0.004798,0,0.036332,0.013098,0.00761,0.004454,0.00159,0.009581,0.025671,0.030974,0.067962,0.002307,0.018197,0,0.008833,0.004801,0.0094,0.007144,0.008833,0,0,0.008833,0.020481,0,0.003728,0.008833,0.00792,0.005066,0.006789,0.006789,0,0.056613,0.042878,0.000589,0.005909,0.013146,0,0.002948,0,0,5,21,0,84,18-24,F,0.1,-0.3,0.2,-0.2,0.5
0.014079,0.001809,0,0.001809,0.004726,0,0.001261,0.003449,0.000379,0.007578,0.007793,0.088461,0.044284,0.007436,0.01835,0.041676,0.00797,0.013683,0.00785,0.067947,0.000498,0.024292,0.011154,0.01041,0.032719,0.012746,0.014899,0.008144,0.001119,0.005637,0.043615,0.020329,0.00739,0.003704,0.002069,0.004286,0.039766,0.021696,0.070799,0.007631,0.039426,0.000891,0.00207,0.004344,0.006502,0.023061,0.035046,0.022725,0.002654,0.008715,0.015338,0.007236,0.005202,0.004221,0,0.007859,0.009997,0.003852,0.006144,0.019979,0.016721,0.000383,0,0.005068,0,0.001322,0,0,63,19,9,202,25-34,F,0,0.1,0,0.1,0.5
0.018257,0.003749,0.00191,0.005659,0.004091,0.00336,0.012881,0.016654,0.00049,0.013213,0.008094,0.119565,0.063368,0.007559,0.017352,0.055346,0.002447,0.013344,0.016709,0.091396,0.005084,0.029096,0.007901,0.008138,0.032763,0.021306,0.028173,0.015351,0.009796,0.003026,0.065808,0.0268,0.010263,0,0,0.016249,0.027307,0.033708,0.072257,0.005703,0.018935,0.00257,0,0.010241,0.012427,0.019234,0.050936,0.026283,0.0116,0.016117,0.022281,0.004561,0.010036,0.002905,0.005555,0.022227,0.007405,0.004692,0.002713,0.028254,0.013258,0.012477,0.007293,0.000684,0.002686,0.006289,0.001266,0,20,113,8,202,25-34,M,0.2,0.2,0.1,0.1,0.5
0.010668,0.003884,0.003041,0.006925,0.001468,0.002275,0.004178,0.006876,0.001039,0.008127,0,0.099459,0.074264,0.010943,0.018363,0.025195,0.004298,0.002851,0,0.049787,0.006178,0.021364,0.005084,0.004298,0.030952,0.02473,0.023856,0.005022,0.014687,0,0.092683,0.03046,0.006784,0.01165,0.005263,0.011522,0.059151,0.015309,0.046295,0.00054,0.017726,0.001788,0,0.005644,0.004549,0.024526,0.087147,0.049207,0.022842,0.01896,0.028247,0.015673,0.002915,0.006199,0.00346,0.015122,0.015787,0.015787,0,0.016957,0,0.00346,0.004147,0.00935,0,0.002851,0,0,31,30,49,68,25-34,F,0.4,0.5,0.2,0.2,0.2
0.013104,0.010153,0,0.010153,0.001467,0,0,0.000542,0.007802,0.005376,0.001545,0.060067,0.04748,0.004611,0.028127,0.012586,0.002501,0.004029,0.002592,0.027053,0.000648,0.011931,0.002648,0.003738,0.001484,0.013699,0.00768,0,0.003486,0.004194,0.032712,0.005244,0.002951,0.005621,0,0.022361,0.024758,0.007885,0.038269,0,0.022924,0.015895,0,0.000389,0.000986,0.009462,0.025894,0.015014,0.008611,0.008736,0.015358,0.01322,0,0.001098,0.00104,0.002206,0.00501,0.002206,0.002804,0.020476,0.015865,0.00601,0,0.002692,0,0.002271,0,0,96,96,185,202,25-34,F,0.2,0.1,0.2,0.1,0.1
0.023883,0.010729,0.001038,0.011767,0.011208,0,0.004063,0.003175,0.00057,0.016151,0.00209,0.044587,0.02994,0.003175,0.018851,0.014647,0,0.003841,0.003617,0.025532,0.006994,0.008259,0.002381,0.003682,0.005776,0.000752,0.02246,0.012745,0.005228,0.002614,0.074888,0.039063,0.012246,0.000916,0.002953,0.005278,0.008214,0.006851,0.050459,0.000276,0.037732,0.000916,0.002286,0.001018,0.007186,0.036632,0.048491,0.024905,0.013894,0.013915,0.03321,0.0192,0,0,0.01401,0.02115,0.005228,0.002614,0.002614,0.032433,0.008324,0.002489,0.022823,0.001286,0,0,0,0,95,39,16,202,25-34,M,0.3,0.5,0.1,0.2,0.2
